textid	text	label	source
42	Yoga keeps me focused. I am able to take some time for me and breath and work my body. This is important because it sets up my mood for the whole day.	neutral	journal
43	After working out, I came home and browsed the internet and played video games. I felt pretty calm and normal for the duration of it.	neutral	journal
44	I was enjoying the time and day with my youngest grandson.  He is a blessing from God and I love him so much.	neutral	journal
45	Managed to get more food in me yesterday. Really need the extra calories. And felt I ate enough for a change. But have to be extra careful of food budget.	joy	journal
46	I spent time with my family for which I have had time to spend with them in the last month. I felt good to make time to eat and to spend time with them. I was happy to have made new memories with them.	neutral	journal
47	I played video games from my childhood and it was very exciting.	joy	journal
48	My family is amazing, and I love them. Being with them is the best part of every day.	joy	journal
49	Since the work day was such a success we order Mexican from our favorite Mexican restaurant. And a donut for desert. It was pleasing and a great reward.	joy	journal
50	I got to spend time with my cousins Rachael and Emily.  We are very close and we enjoy watching television shows together.  We have snacks and laugh like there's no tomorrow.  I love them so much	joy	journal
51	I was working on a project at work i was having issues with. Made me very upset and confused.	confusion	journal
52	I learned from my doctor yesterday that I am vitamin D deficient and that I also have to take medication for cholesterol.  I thought I was doing good, but apparently not.	nervousness	journal
53	I spent time with my girlfriend. We got to spend some quality time together and grow even closer.	joy	journal
54	I don't get enough sleep. I sleep in spurts throughout the day and am always tired. If I take sleeping pills they knock me out for two days and I don't get anything done. It's very frustrating.	sadness	journal
55	My family is everything that matters to me. This is what motivates me to be happy.	pride	journal
56	Made a new recipe today and it turned out tasting really well. Will have to remember to put it into my repertoire more often.	joy	journal
57	I worked out at the gym before going to work. It is my alone time before interacting with customers all day. I use it to relax to get myself prepared for the day. I am in control and can do whatever I want.	joy	journal
58	I enjoyed eating a bacon cheeseburger from my favorite restaurant, Cheddars. I used to eat bacon cheeseburgers all the time when I was younger. The food made me feel happy and nostalgic.	joy	journal
59	I was able to go outside with my wife who has cancer to a local park which was surrounded by trees, very quiet as only a few people were around and with 2 small man-made ponds with free.  It was a good break in  the day from all my work on  the computer as well as to spend quality time with my wife in a natural  setting. I thoroughly enjoyed it.	pride	journal
60	My health is good today. Usually I have migraines, but I am oddly hungry.	neutral	journal
61	Today I made my second batch of Greek Yogurt with my new Instant Pot. It's costing me $1.65 a quart compared to almost $5 a quart at the grocery store, and it taste better too!	joy	journal
62	I had fun with my family yesterday as we all met to celebrate my mother's birthday	pride	journal
63	I love food. I cooked food and enjoyed dinner with my family	excitement	journal
64	I finally finished a hand beaded bracelet that I have been trying to learn for over a month. It made me feel great to have it done. It looks really cute too.	pride	journal
65	Got message from my sons teacher saying he has missed a whole bunch of assignments over the past few days.  I was annoyed and frustrated as we've talked to him already and taken his phone away as it was becoming a major distraction for him.	anger	journal
66	I went jogging and felt energized after going for a run. I was in a need for a run as my time has been short in the past weeks. I got energized and then felt relaxed and at ease.	excitement	journal
67	I feel so lucky to have a husband and partner that is there for me and also takes care of my mother. So so lucky	joy	journal
68	For dinner I had a Velveeta Gold Skillet. I never ever make this and now I know why. It was horrible. It tasted like puke. It was really gross and you could taste that it was not actually food. My family did not like it and I will not make it again.	disgust	journal
69	I was happy that my daughter told me she loved me.  Her sitting on my lap is a joy beyond all that I can ever imagine.  Despite ups and downs of the day, I am thrilled that we have a relationship and I will love her forever.  She and my family are a joy above my imagination.	joy	journal
70	I was surprised because I got a large bonus on my Mturk work and I wasn't expecting it at all. I am looking for a permanent job, but I'm working on Mturk so I can keep everything going until I find something. It's nice to get a surprise because it does give you a little more hope.	surprise	journal
71	I cooked a good meal for dinner. It was really enjoyable. It made me feel calm and collected.	neutral	journal
72	I practiced self care today. I took my meds, ate breakfast, had my coffee, had a short but nice conversation with my husband, and enjoyed a little bit of TV.	neutral	journal
73	I feel like we're really making good progress on our project at work and I'm happy about that.  Everyone on the project team is motivated to get the job done and considers it important as well as relevant to our greater goals.  Everybody is contributing equally to its success and cooperating with each other, which means it's running smoothly.  I'm proud to be part of this team and proud of the work we're doing together.	pride	journal
74	I got in 10,000 plus steps yesterday. I didn't intend to meet this exercise goal, but I'm happy and satisfied that I also got in 5 plus miles of activity/walking. I feel like I achieved something, especailly since I wasn't feeling the best with my all day headache. However, it did help me sleep better since my body was sufficiently tired from exercising. I am glad that I got in my exercise goal in even though it was unexpected.	neutral	journal
75	I was so happy and excited to get to the gym after being out of town for 5 days. I did not work out in those days and was feeling the need for a good sweat!	neutral	journal
76	It was a cold day and I had a grilled cheese and tomato soup	joy	journal
77	I'm happy to have a really balanced relationship with my family	excitement	journal
78	Everyone loves sleep. The past 6 months have created a whole new schedule for myself so come evening I'm ready for bed!	neutral	journal
79	We had some homemade chicken wings that I made in the oven with a special sauce. I paired it with some chicken broccoli rice and some seasoned green beans and the kids loved it. For dessert we had strawberry cheesecake. I love cooking for my family and I loved seeing their reactions when they tasted the wings.	joy	journal
80	Yesterday for dinner I had a small bowl of some southwestern chicken soup my wife had made. I wanted to try it but just wasn't that hungry what with still feeling sick (not stomach sick but still not much appetite). I tried it it was good I couldn't properly enjoy it. Hence the happy and sad.	sadness	journal
81	I watched a few episode on netflix of a series that I was enjoying.  I liked it overall but found the ending to be disappointing and confusing.	neutral	journal
82	After being with my boyfriend, I slept so good last night and I really needed the sleep as I hadn't had enough lately.	neutral	journal
83	I felt a bit nervous because I hadn't worked out in a while and I didn't know if my body would be able to handle the stress I was about to put it through personally. That was my biggest fear.	nervousness	journal
84	I spent a lot of time with my wife and my little daughter	joy	journal
85	It was just a walk in the park with my dogs, but the air has started to change here, it is gloomy but charged, like it's just about to rain, and because the weather was dreary, we had the park to ourselves. Nice time for reflection.	neutral	journal
86	Yesterday was a busy work day.  We've nearly completed preparations for our holiday display.	surprise	journal
87	I was supposed to finish writing some interrogatories this weekend but I felt too bad to do a lot. I drafted a couple but I've got a cold and really couldn't concentrate I kept falling asleep. Hopefully I'll feel better tomorrow.	nervousness	journal
88	I got to read the Bible and my favorite books on the subject of Christianity. It helped me become more at peace and loving towards myself and others.	joy	journal
89	I met my girlfriend and her sister for dinner. We discussed, drank wine, it was nice	joy	journal
90	Yesterday I volunteered at the thrift store that funds the homeless shelter. It makes me feel good to help even if it is just in organizing the store. I feel my little bit of work contributes to what others are doing to make the mission possible.	pride	journal
91	I hit my work goal yesterday easily. It was a smooth process with no hiccups. I even got some important paperwork for the future finally sent in.	pride	journal
92	I am proud of my family for all that they do they bring joy to my life	pride	journal
93	I went to a doctors appointment and was feeling anxious about how my general health was. After my checkup and finding out that I was in good health, I felt happy and relieved about the results.	nervousness	journal
94	I took my time and on my own went to a medical facility in my health program for x-rays as followup.	pride	journal
95	I went on a short walk yesterday to get some exercise. I just took a stroll down to the park near my home. It was relaxing and fun.	joy	journal
96	after my walk and breakfast followed a good day at work which makes me happy to work and see my friends.	joy	journal
97	At my parents house they made a delicious steak dinner with sweet potatoes salad and a dinner roll and it was wonderful to have such a delcious meal while surrounded by family.	joy	journal
98	I hit new goals with my cardio.	excitement	journal
99	I ran for an hour and a half yesterday when I got home which was the longest workout I had done since I had ankle surgery last summer. It was very important as I love to run and it made me feel great.	joy	journal
100	At the end of the day all you have is family. I am so proud to share my life with my children.	neutral	journal
101	After my presentation, I headed back home to rest. I slept like 13 hours straight. I haven't had rest this long for a very long time!	joy	journal
102	I was much proud about my work yesterday, as I was organizing a meeting and which was successfully done in order to sign up a project with the client.	pride	journal
103	i got to spend the day with my wife, it was very refreshing to enjoy each others company.	joy	journal
104	Yesterday I made a lot more money on Mturk then I expected, a whole $23!  These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays	excitement	journal
105	I love to watch movies from the library that are documentaries. Yesterday I watched a political documentary and it really caused me to think about the way I view the internet.	neutral	journal
106	we went shopping and we were just being goofy in the store	surprise	journal
107	I was very glad to get so much excerise yesterday, as I had really been lacking in it lately.	joy	journal
108	I talked to my romantic partner briefly yesterday after work. We are both very busy and haven't seen each other much so it was nice to talk to him even for a few minutes.	joy	journal
109	I worked out for more than 90 minutes. It was tiring and I didn't want to but I'm happy I got through it.	joy	journal
110	God is always a part of my dayHe makes me feel better when I am sad or having a rough time.	joy	journal
111	I had friends over which felt great but I also had some social anxiety about it.	nervousness	journal
112	I worked out in the morning and the afternoon even when I did not feel like it. once I started I felt better.	pride	journal
113	I felt as if my morning walk made me feel very refreshed and is vital to starting my day off right.	pride	journal
114	Work was trash today as usual, rotten work, rotten clients, rotten bosses. Still, it's a means to an end, and I'll get a break in a couple days.	anger	journal
115	My father called me on the phone. He is an older man and seldom makes phone calls. He is so afraid he'll be bothering you if he calls, so I usually have to be the one to call. Hearing from him out of the blue was great.	excitement	journal
116	I ate a mesl of steak that i cooked myself. It was very flavorful and i was so proud how well i made it all by myself.	excitement	journal
117	At the end of a rough day getting to go home to Joe and spending the evening just relaxing with the puppies made the frustrations of the day fade into the background. I am so grateful for all the blessings I have been granted, and hope and pray for more good than bad in the future.	excitement	journal
118	I haven't had much time with my husband lately, so it was nice to eat dinner last night and just have some us time. I felt relaxed and comforted to have him close and to forget about how crazy life has been lately.	joy	journal
119	At the end of the night, snuggled up on the couch with my dog and a blanket and reading a good book.  There is just something very peaceful and relaxing when you are all snuggled up on a cold night	neutral	journal
120	Some high school friends of mine get together once a month to catch up. I usually miss these things. It was a blessing to be there and share memories.	neutral	journal
121	I love my old friends and we keep up with each other and chat daily on FB.  It keeps me feeling social because I do not have much social life now.	neutral	journal
122	I took breaks along the way thru my day and reflected on what I had accomplished and how good it felt.	joy	journal
123	Today I had a good and easy day. Everything in the department was taken care of and no new issues came up.	pride	journal
124	TodayI got further on our business and was able to successfully redo the index page for our website.	pride	journal
125	My wife and I took our 2 year old son to the park. Him and I went on the swings together and went down the slide. It sounds really simple and may be boring to some but he was so exited to be there. Seeing his little face light up like that makes me feel so happy.	pride	journal
126	Work is good.  I like my job, I am getting promoted after the New year.  But it is also the most frustrating job.  Customers usually are horrible.	excitement	journal
127	My oldest son sometimes calls us when he's on the way to his home from work. He asked about my medical appointment as he's aware of the pain I've been having. I enjoyed talking to him and was happy that I could report that things will likely work out fine.	pride	journal
128	Yesterday, the stress of all I was trying to accomplish started catching up with me. I took some time to just snuggle our pup, and while there, was praying and telling God that I really needed some help. I could feel a very calm rush come over me, and could feel His arms around me.	neutral	journal
129	I had my wisdom tooth extracted yesterday. It was the first one I've had to experience, so I was incredibly anxious.	nervousness	journal
130	The most salient aspect of my day during the afternoon, was spent with a close friend at a nearby coffee shop. I felt very relaxed and at ease enjoying a lovely exchange.	neutral	journal
131	My work is what keeps me going. It makes me useful  providing a platform for me to offer my services.	neutral	journal
132	exercising makes me feel like the best version of myself. i look forward to it every morning with my son when i wake up in the morning.	pride	journal
133	I ran into my friends tj and stephen at work.  I talked to steve fora  while about our flag football team that we're playing on, and we had a good time talking about it.  you could tell tj was jealous about that, and in a way, it made me feel good that he wanted in so badly.	joy	journal
134	I made an appointment to get my cat fixed, vaccinated, etc. I'd been really stressing about this for the last few weeks, because of several factors. She's a former stray and not all vets are willing to treat her decently - the first place I called wanted me to bring her in in a trap and tip her ear, like a wild animal! Also, because she's a stray I have no idea how old she is, but she looks more than old enough to have kittens, and I can't afford them, so I was in a hurry to get her fixed. Now that I have an appointment for next week, at a place that will actually treat her like a PET, which she IS, I feel better. I still have to figure out how I'm going to get her into the cat carrier that morning - I fully expect her to panic over some noise or other the night before, hide under the bed and refuse to come out - but at least it's only ONE thing to worry about, and after that, it's all downhill unless she gets an infection.	joy	journal
135	I love being a tutor, even if it's only part-time. It warms my soul knowing that the help that I give them is instrumental in their passing an important class that is required for graduation.	pride	journal
136	Yesterday my oldest daughter had her first high school weight lifting meet of the season.  This event was the result of many of many hours of hard work.  She did very well coming in second place in her weight class.	joy	journal
137	I had a good time with my kids after school. We played chess, ate dinner, had dessert, and watched a movie together.	joy	journal
138	I had not been getting enough sleep lately and I actually slept for 7 1/2 hours and felt rested and relaxed.	neutral	journal
139	The long day on my feet, and doing the 10,000 steps of walking made me feel frustrated that I still had some pains with the exertion but also happy that I am getting back into shape little by little. Balancing it all out with work and having to do it on my own is making it an easier task to meet daily.	nervousness	journal
140	I had spent most of my day yesterday working and the only salient thing I noticed I was really anxious. I wanted to get off and go home.	embarrassment	journal
141	My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.	nervousness	journal
142	felt upset and disappointing because I did not exercise alot	disgust	journal
143	I had lunch with me aunt and we discussed my future plans and I talked about the shortcomings that I thought could hold me back from achieving what I desire to. It made me feel anxious to talk about, and when she went on to tell an interminably long and irrelevant story I became a bit fidgety.	nervousness	journal
144	It seems like things are not going as well as I would hope but I guess it is all in God's timing	sadness	journal
145	I took the time to make a home cooked meal last night and it was so good. I made acorn squash with apples and sausage. Getting to enjoy this meal made me very satisfied because it was so tasty and very happy that it turned out so good. This meal also makes me nostalgic for other times when I have made this delicious meal.	joy	journal
146	My spouse was having an emotional crisis about events from his childhood. I had to give him alot of emotional support and seek to help him find a resolution.	sadness	journal
147	I always feel anxious but yesterday was fine at work. Just the usual struggle of finding things to do between projects and assignments. It was a fairly uneventful day after finishing my morning duties.	nervousness	journal
148	I had steak and chicken for dinner. Salient is an understatement for how I felt about the food.	joy	journal
149	Yesterday I finished my fourth week in a row of 30 minutes of exercise.	excitement	journal
150	I went for a nice job this morning, it got the blood flowing and made me feel alert.	joy	journal
151	Love how Jesus pulls and pushes me through anything. He is my strength.	joy	journal
152	I attended a study group with friends. I looked forward to going and had a great time. I was able to say things that were on my mind and to listen to others as well. Very encouraging.	surprise	journal
153	Exercise has been one of my goals since I had my baby. I really enjoy taking the time for myself and doing something I like. It helps me to relax and destress, and makes me feel better about myself. It makes me feel strong and accomplished.	pride	journal
154	I was able to spend time with friends praying and fellowshiping last night. It was fun to hangout and encourage one another	joy	journal
155	yesterdays work was very good. my team made a lot of breakthrough. there was this excietment and joy within us cause there was a project we have been working on for a while and it came out so much successful.	neutral	journal
156	Working out is the 2nd best part of my day because it is my time to just be alone and get healthy.	neutral	journal
157	I am in a computer architecture course. It is quite technical in nature. I felt blessed to be enrolled in a course that is technical and geared toward my career.	joy	journal
158	My team did a great job yesterday. I was able to report sales numbers for every single rep in my office yesterday. Everyone is on board to reach their quarterly/monthly goals.	pride	journal
159	"God and my faith are very important to me. I live my life in a way that emanates this. Going to Biblke Study , I was so happy to see the 2 young girls attending and then scripture verses stating ""to the young' a I knew God was speaking directly to them. It is in these occasions that i can really see and feel God in my life and that makes me happy"	joy	journal
160	I spent quite a bit of time talking to my significant other about our day. We ate dinner together then relaxed with a cup of hot cocoa as the snow fell outside	joy	journal
161	I felt good and awake yesterday while doing my daily activities. It was a very salient day and my health was in tip top shape, as far as how I felt.	joy	journal
162	I was happy to know that my friends are always there for me when needed. They make me smile, and it is a secure feeling too.	joy	journal
163	I like to cook my meals every day.  It makes me feel good about myself.	joy	journal
164	My family are the most important part of my life. Yesterday, I got to really spend time and connect with my girls and husband. I am very grateful for all of the time that I get with them.	joy	journal
165	Had at least a good chat and ambiance with family last night, which was pretty nice.	neutral	journal
166	We went out to dinner and let someone else cook. The bill was lower than I expected and I got to talk with my family.	neutral	journal
167	I felt it was very important and salient because I was very happy and I love my family very much. We went out to dinner and had a great time. I love spending time and laughing with my family.	neutral	journal
168	Playing the piano at the end of the day helps me wind down and relaxes me	neutral	journal
169	I accomplished a lot yesterday at work and felt very satisfied with my performance.	excitement	journal
170	I was definitely excited about this and the possibilities that could come from it so I was pumped to show everyone what I could do.	joy	journal
171	i lift weights 3 times a week	excitement	journal
172	Went out to dinner last night with 3 of my work friends.  We had a great meal, a few drinks, and great conversation.  It was a lot of fun.	joy	journal
173	I made some food from a recipe I've been looking at. it turned out delicious.	joy	journal
174	I made homemade chicken and dumpling soup. It made me feel warm and nostalgic because it was my great grandmas recipe and she would invite me over everytime she made it.	neutral	journal
175	I went to bed early yesterday. It was a great night's sleep. I got nearly 6 hours and had nearly 2 hours of deep sleep. Had a nice heart rate of 48 bpm.	joy	journal
176	I went to a jazz club today for the first time in a long time. A friend of a friend was performing. It was cool. Good music, good drinks. It was nice to get out.	excitement	journal
177	I got a good hour of cardio in which made me feel good because I had not been able to for a few days. I was very pleased with this.	pride	journal
178	my health could be much worse considering the circumstances and i like that i am in good health and that is very important to me each and every day i wake up in the morning	pride	journal
179	I try throughout my day to always remember God is there watching and live accordingly and know he is there for me in prayer.	joy	journal
180	I started sending messages to a female acquaintance I am attracted to and to my pleasant surprise, she responded. We had a friendly conversation about what we've been doing recently and I'm working up the courage to ask her out.	nervousness	journal
181	I went swimming for about two hours in a local pool. It's been a few months since I've done that. I was happy.	excitement	journal
182	I went for a 5 mile run yesterday afternoon and it helped me burn off some nervous energy I had accumulated throughout the day, as well as some of the calories I had eaten earlier in the day. I felt happy and satisfied at the end of it.	pride	journal
183	I ate a delicious pizza from World Market. They were on sale the other day. It had a white sauce, but it was super good. I was impressed.	joy	journal
184	I did my normal day workout for an hour and a half and saw the gains I have been making which makes me extremely grateful for the effort I have been able to put in and for the work I have done.	pride	journal
185	My best friend of 20+ years called me yesterday. We normally talk every week or so. The conversation was fun, and we joked around about some of our shared memories. I felt nostalgic because we were talking about this resturant that is in our hometown. Neither of us live in the same city any more, but being friends for almost 25 years make me feel good.	joy	journal
186	Work was the usual gamut of occasional struggles and satisfaction when things were going well. It's been really time-consuming, but so far a positive week for working extra hours and getting a little more pay.	neutral	journal
187	So I helped my Aunt move some things out of my friends house on quite short notice, and the overall sense I had after the task was done was that I felt very reliable. I was pleased that I could be so useful and reliable as a source of free labor, and that I was willing to help a stranger with no questions asked.	pride	journal
188	"I have a home recording studio in my attic that I sometimes hire out as a side gig. I had a group of three friends that scheduled a session with me yesterday evening who did not show up and did not call to let me know they weren't going to make it. I treat it as a side business and act professionally and expect others who reserve my time to treat it seriously - I ended up staying in for the evening waiting on them. It was slightly more obnoxious than usual because they were not only ""clients"" but are friends and it was a pretty disrespectful thing to happen."	nervousness	journal
189	i love food but sometimes it makes me feel guilty coz i workout a lot. but its just difficult not to eat. lol	excitement	journal
190	My friends are there for me and do things that make me feel better through out the day wether it be sharing a funny social media post or talking through text.	neutral	journal
