text_id	text	label	source
35	It's riskier to take on bad contracts right now	nervousness	goemotions
36	Images you can hear, “oh my [NAME] laughter”	excitement	goemotions
37	So sorry, for your loss.	sadness	goemotions
38	Was not one of those players, still want to go back to the MW2 days. Totally would if I still had my PS3 :/	sadness	goemotions
39	Worst in the country by far.	anger	goemotions
40	I am so proud of this community.	pride	goemotions
41	Let this be a lesson at how easily manipulated some therapist are. Block the therapist immediately. He/she has been compromised by a psychopath.	anger	goemotions
42	i have bought this but not played. i'm scared. hold me.	fear	goemotions
43	Wow, not exactly a complimentary typo. 	surprise	goemotions
44	After the car already cleared them. Watch again.	neutral	goemotions
45	What is scary?	fear	goemotions
46	Hey Man! Your house is on fire! All you gotta do is look just turn around and look!	surprise	goemotions
47	That's freedom of speech for you. We have to give even the assholes a chance to talk, because the alternatives are worse.	anger	goemotions
48	I don't even know what I'm going to do when the winter break ends. These posts are the sunshine of my life.	confusion	goemotions
49	I'll wait until he enforces this before I get excited.	excitement	goemotions
50	u/1R0NYMAN is that you?	confusion	goemotions
51	Yeahhhh I’m going to go to sleep now...	neutral	goemotions
52	I'm 21 and I've slept with dozens of girls.	pride	goemotions
53	Is that a TV or a computer monitor ? :O	confusion	goemotions
54	You’re welcome, glad to help!	joy	goemotions
55	If he hits you and constantly degrades you, it's abuse	disgust	goemotions
56	It seems some people on here don't like us disrupting their echo chamber.	neutral	goemotions
57	Bohemian Rhapsody is a horrible song. Really horrible. Queen had a lot of great songs, but that one wasn't one of them.	disgust	goemotions
58	I went to a destination wedding being the only single person. Promised to never put myself in that situation again.	embarrassment	goemotions
59	He's so intimidating...	nervousness	goemotions
60	These parents probably dress and openly love the kid more	neutral	goemotions
61	Right, that makes sense! I wonder if the person I met in real life would acknowledge he's more of a fence sitter than childfree, haha	surprise	goemotions
62	Every time there's a video in my sub box I get really excited and then it's Fortnite. It's heartbreaking.	excitement	goemotions
63	My office has very few personal offices. Its awful. Managers need closed spaces so they can talk without everybody hearing	disgust	goemotions
64	The fake news media and it's supporters are the enemy of the people.	anger	goemotions
65	And this video has been around more than [NAME].	neutral	goemotions
66	It’s going to be a very long and exhausting election season. I just hope we make it though united.	nervousness	goemotions
67	? ur slide is right stick	surprise	goemotions
68	I am just utterly disgusted by it all	disgust	goemotions
69	was the same with me for a couple of years before puberty.. i was frequently mistaken for an adult woman..	embarrassment	goemotions
70	that's a proud dad	pride	goemotions
71	I had did the same thing sometime in December. I hope you'll be fine and I'm very proud of you for not harming yourself after	pride	goemotions
72	i just came to make sure she was safe cause she said her parents gone. It can be dangerous ya know..	nervousness	goemotions
73	Wow, that’s fascinating! I’d be interested to know the rationale (or lack thereof) for a [NAME]. 	excitement	goemotions
74	We play some sexy football at times	pride	goemotions
75	Only a sith deals in absolutes.Fuck that guy.	anger	goemotions
76	What really? I cant believe no one has ever said that before! You may have saved my life.	surprise	goemotions
77	I'm always paranoid of people following me when I am driving home. I would have pooed my pants yikes.	fear	goemotions
78	"yeah her ex was shocked when she said ""my boyfriend""."	surprise	goemotions
79	Everyone has their own preferences I happen to play better when I have multiple balls in my pockets.... no pun intended	pride	goemotions
80	Not to mention the small electronic machines that we all carry around in our pockets. It'll be interesting to see how this impacts online casinos that accept cryptocurrency.	excitement	goemotions
81	I would be afraid he would come back and somehow blame me for his failure.	fear	goemotions
82	I had a monster panic attack myself--and also managed not to go clingy with it. I guess I should be proud, too!	pride	goemotions
83	I just realized people in apartments are essentially screwed, that is too bad man, hopefully you'll get that going soon! It's worth it!	embarrassment	goemotions
84	aw :(	sadness	goemotions
85	sad to see [NAME] the man go but realy happy for [NAME]!!	sadness	goemotions
86	It makes sense to me. I am a republican in that sense but hate the GOP for the most part.	anger	goemotions
87	You're creepy	fear	goemotions
88	I'd be worried about the tone, not the content.	nervousness	goemotions
89	Why don’t you just *get the fuck out* of Edmonton if you hate it so much?	anger	goemotions
90	Though underwear would have made this less embarrassing, I wear it for a different reason. 	embarrassment	goemotions
91	I agreed with your first point and then stated a statistic. My bad, awkward wording on my part.😢	embarrassment	goemotions
92	When I get a brain freeze, I grab my chest and throat. Very painful. Then i keep eating. 	nervousness	goemotions
93	I thought about it before. But I'm afraid I might get in trouble.	nervousness	goemotions
94	Its a bit weird of them to recommend you a song by The Strokes after they told you their offer	embarrassment	goemotions
95	That is odd.	disgust	goemotions
96	This is why I stopped watching. :( The brutality was disgusting.	disgust	goemotions
97	Wow, the level of evidence that you accept is more or less abysmal.	disgust	goemotions
98	THANK YOU [NAME]	anger	goemotions
99	That's kind of amazing. What a time to be alive.	excitement	goemotions
100	Shitpost from the uncultured	disgust	goemotions
101	Waterspouts might be one of nature’s most beautiful dangerous things	fear	goemotions
102	Defense takes more time to implement i think	confusion	goemotions
103	Maybe one is bigger than the other, so getting more t-time?	confusion	goemotions
104	My boyfriend is so much like your husband. I’m so happy for you to have him, he sounds wonderful. 	joy	goemotions
105	Probably. I am surprised Reddit doesn't just purge all right leaning subs.	surprise	goemotions
106	This post makes me facepalm	embarrassment	goemotions
107	I have no idea Lmao. One of the kids at my school shared it. 16. Actually cares about politics. So L	confusion	goemotions
108	Yeah.. like 30ish BBs deep I don’t think about it twice, just re-jam and be a sad boy. But we are so fucking deep...	sadness	goemotions
109	This one is sad but also very good	sadness	goemotions
110	Especially from the media that literally hates these players.	anger	goemotions
111	Edited because my kneejerk response was kind of unnecessarily harsh. :/	anger	goemotions
112	My mom used to throw tantrums in public. I wanted to crawl into a hole and die when she'd start.	embarrassment	goemotions
113	Because she knows shame and he asked.	embarrassment	goemotions
114	Feeling your pain. I was laid off due to our department closing the week after Thanksgiving. Good luck to you. Stay strong.	sadness	goemotions
115	Really confused how every comment with more than 1 upvote says this isnt cringe and yet the post has 1.3k votes...?	confusion	goemotions
116	Happy cake day by the way!	excitement	goemotions
117	Deep blue eyes look weird to me. The rest seems pretty good.	fear	goemotions
118	Cant wait to see it buddy!	excitement	goemotions
119	I used to have fun with it and didn't feel angry aside for when [NAME] was op lol	joy	goemotions
120	I feel truly honored that you gave up the jubilation of being the only person to see that peanut and sharing it with us	pride	goemotions
121	[NAME] is getting the shit beat out of him and can't get a call	neutral	goemotions
122	he is. he will make the Browns proud!	pride	goemotions
123	WHAT A SHIFT!!! Can't stop that zone.	confusion	goemotions
124	I like it better this way!	joy	goemotions
125	this is why she killed herself you sick freaks	anger	goemotions
126	I hear she eats babies on Sundays. (The rest of the week she goes easy and just punches puppies)	disgust	goemotions
127	[NAME] but probably secondly, [NAME] because I find both so boring.	disgust	goemotions
128	[NAME] is the most useless phantom thief change my mind	anger	goemotions
129	"""you can't arrest me!! I'm attractive!"""	pride	goemotions
130	Cheers, cheers_im_drunk_bot.!	excitement	goemotions
131	Top female players including [NAME] practice against college men players and get beat a lot by them. I wouldn't be suprised to see [NAME] win even at 14..	surprise	goemotions
132	no idea how [NAME] was a [NAME] or [NAME]. just awful	disgust	goemotions
133	Bjj= Brazilian jujitsu, they are known to have stupid think necks due to constantly being grabbed around the neck while grappling.	neutral	goemotions
134	Did [NAME] funnel money to any paramilitaries?	neutral	goemotions
135	I work for the Hilton company I’m disgusted they would let this happen outside one of their hotels if they had any ounce of control.	disgust	goemotions
136	That guy (his dad?) was so proud he threw that strike!	pride	goemotions
137	I’ve never felt so blessed that I live in a country with wide open roads.	pride	goemotions
138	Happiest of birthdays, hope you can share it with the ones you love 	joy	goemotions
139	Oh the T word	neutral	goemotions
140	Look at that thing...could tear you to shreds	fear	goemotions
141	I always worry about my facial expressions. You're not alone there.	nervousness	goemotions
142	Oh no, [NAME] is in pain	sadness	goemotions
143	It's her |_STAND^¬	neutral	goemotions
144	If an AI projectile is your biggest problem you've got bigger issues, next. 	fear	goemotions
145	Spoiler >!Loli Girl about to grow up in 2 episodes!<	neutral	goemotions
146	Are you sure it wasn't just the six o'clock news? Its getting difficult to tell the difference these days.	confusion	goemotions
147	I play those characters all of the time and have never, ever experienced this. 	sadness	goemotions
148	Yay yayeeeee!	joy	goemotions
149	Wow. She didn't get it at all. Very entitled parent	excitement	goemotions
150	Good to know everything is about average there. Leave it to H-Town to hold it down.	joy	goemotions
151	Can I see the video with these two? For... research	confusion	goemotions
152	That sounds like a hot date. ;) I've never been, but friends say just order the cheapest food and enjoy the ambiance.	joy	goemotions
153	I haven't watched the original FMA, but you're definitely in for a fun ride with Brotherhood. Hope you enjoy it!	joy	goemotions
154	that's like a kel'thuzad/kael'thas wet dream right there. Line them up for disgusting aoe XD	disgust	goemotions
155	That's the stuff of nightmares right there	nervousness	goemotions
156	He seems like the most genuine dude. I’m so happy to have him as our coach.	joy	goemotions
157	Is lab meat already available or are you guys referring to vegan burgers?	confusion	goemotions
158	I get scared just reading your flair	fear	goemotions
159	Yep, first hour free at long term. But if you go a SECOND over that you owe them $19.80 ! They're fucking ruthless	anger	goemotions
160	We should build a pipeline! Oh wait...	neutral	goemotions
161	This happened at my local Odeon last night. The amount of confused faces was kinda funny to watch.	confusion	goemotions
162	Congrats, darling! That is a monumentally meaningful accomplishment. I'm both happy for and proud of you <3	pride	goemotions
163	For me, she looks happy and nervous as well to meet to her future husband´s family.	joy	goemotions
164	It's weird that many places consider iguanas invasive species..	embarrassment	goemotions
165	That host's sense of superiority and childish sarcasm is so terrible that it physically hurts.	fear	goemotions
166	It starts with the malicious ones and then they whip up the others. [NAME] is truly a stain on american politics.	neutral	goemotions
167	What’s crazy is when [NAME] came back [NAME] played him down the stretch instead of [NAME], [NAME] seems fed up with [NAME]. 	surprise	goemotions
168	Niemi locked in holy fuck.	surprise	goemotions
169	Wow, [NAME] acting like he got [NAME] Punched.	excitement	goemotions
170	[NAME] you people are so fucking dumb	disgust	goemotions
171	Degloved finger...*ouch*. One of the worst types of avulsions.	sadness	goemotions
172	My [NAME]... This makes it so much more cringe.	fear	goemotions
173	I mean I'm genuinely not sure if I'd rather be tortured for all eternity or have to spend all eternity in Sunday services	confusion	goemotions
174	I'm worried that [NAME] throwing away a future career by running for President.	nervousness	goemotions
175	Hurts to read :(	sadness	goemotions
176	Happiest of birthdays, hope you can share it with the ones you love 	excitement	goemotions
177	I'm an inspiring man	pride	goemotions
178	I wonder if this will ever appear on BotW. Since it's so straightforward there probably isn't much to talk about.	surprise	goemotions
179	So you're saying there's a chance I'm a bot... I don't even know what's real anymore!	surprise	goemotions
