text	label	source	textid
Yesterday I got the best sleep of my life. I finally caught up on some much needed sleep and feel refreshed and ready to go.	neutral	journal	115
I felt very happy today because all the members of my family were together and we had a very good day eating dinner together and telling funny stories.	joy	journal	116
Exercising after a busy days felt really good.  It energized me and made me somewhat proud to see that I was meeting my goal for exercising.  I felt very relaxed afterwards and was able to enjoy the rest of the evening, feeling better physically and mentally as a result.  It helped to clear my mind.	pride	journal	117
I was with my family yesterday to spend some time with them after some time of not being able to spend time with each other. I thought it was nice for each of us to take time out of our busy schedules to eat and enjoy each others company.	excitement	journal	118
Going on the treadmill made me relieve stress and made me feel relaxed.	nervousness	journal	119
I've been learning C#. Feels pretty good man. I have been learning quite a bit and it's fun. I plan to make a roguelike text based game soon.	neutral	journal	120
I was able to get through the most difficult monthly reconciliations for my work. It was difficult and time consuming, but is always good to get out of the way.	pride	journal	121
After leaving the doctors office yesterday, I came home and slept for 14 hours. I guess I needed it.	surprise	journal	122
At the end of the day all you have is family. I am so proud to share my life with my children.	neutral	journal	123
I was able to accomplish a big quota at work and that made me feel both satisfied and proud of myself to know that I actually accomplished what I have being working so hard for.	pride	journal	124
God was a salient thing because without his blessings I am no one. I felt yesterday he was watching over me greatly and the results of my day was wonderful because of him.	pride	journal	125
I work at a university.  I am challenged by my job everyday.  I get anxious thinking about meetings where my written work will be critiqued.  (For accreditation)  I feel frustrated that my coworkers don't take me seriously.  (Some).  I feel proud because I know I'm doing a good job.	nervousness	journal	126
i love food but sometimes it makes me feel guilty coz i workout a lot. but its just difficult not to eat. lol	excitement	journal	127
Exercise was important because it was a nice day outside and I took some time to myself to just enjoy it.	joy	journal	128
We ate delicious sub sandwiches	excitement	journal	129
I was having a lot of stomach issues. I had no idea why. Maybe I was just anxious. I was thinking about an old friend for a long, long time.	fear	journal	130
I watched a really good movies on my VCR. I enjoyed it.	neutral	journal	131
Exercise has been one of my goals since I had my baby. I really enjoy taking the time for myself and doing something I like. It helps me to relax and destress, and makes me feel better about myself. It makes me feel strong and accomplished.	neutral	journal	132
I enjoyed doing arts and crafts much of the day	neutral	journal	133
I had a really good dinner yesterday with my wife and my son. We were really able to relax and connect.	neutral	journal	134
It was my son's birthday so I spent the whole day doing things he wanted to do. It was so much fun watching him be excited by things and having a great time. At the end of the day, when I was tucking him in, he gave me the most serious and heartfelt thank I think he's ever given.	surprise	journal	135
I went for a run last night, it was kind of scary because it's now dark when I get home from work. I did 2 and a quarter miles though.	neutral	journal	136
I was satisfied to eat some scrumptious food.  It was wonderful to taste the good flavors.  I did feel guilty though that I ate all those calories.	joy	journal	137
I was happy about school and I felt that I was going to do great things that day and make my family proud of me.	joy	journal	138
My job is also very important as I am in charge of the I.T. department. I am responsible for managing a few employees in our company. It brings a satisfying feeling to have everything working in order in terms of the I.T. needs of our organization.	pride	journal	139
I got to read the Bible and my favorite books on the subject of Christianity. It helped me become more at peace and loving towards myself and others.	joy	journal	140
The most important thing in my life is always God or my salvation. It makes me feel calm or at peace knowing no matter what life throws at me he is on the throne fighting my battles for me and I am going to be okay	neutral	journal	141
Today was a very busy day at work.  We had corporate visitors and had to be on our best behavior.  I also had to make a prewsentation about my section to the corporate people.  It went well, and I glad to be done with it.	neutral	journal	142
When I had the vertigo attack I was able to make it to bed without falling down.  I took a three hour nap.  When I woke up I was a bit foggy like I normally after having  vertigo attack but I was able to do some work.	neutral	journal	143
i like talking to my friends	joy	journal	144
I had a great workout today. Everything flowed and I felt strong. I warmed up by playing some basketball then ran a couple of miles and then did sprints. I felt alive and working out really cleared my mind today.	pride	journal	145
It seems like things are not going as well as I would hope but I guess it is all in God's timing	sadness	journal	146
My friends came over to rehearse for the show last night and it was wonderful. They got to meet our cat, we ate snacks, and had a great time running lines and blocking. It was the first time they'd been to my place and I was proud to show them my home.	excitement	journal	147
My family was the most salient thing about my day. My baby boy turned 9 months old today. It made me fee so proud and nostaglic and introspective. I reflect back and feel happiness that I created a beautiful child that is my own family.	pride	journal	148
I watched a movie with my parents. It was an excellent time. I loved it. I felt satisfied and we all had a good time watching the new Godzilla movie.	neutral	journal	149
My wife and I have been on a low carb diet and eating at home most of the time to better control that. It's necessary for us to reduce our blood sugar and blood pressure. But yesterday we decided that if we picked from the menu carefully, we could go out to eat and enjoy a restaurant meal. It had been so long since we last did that that it was a real treat.	joy	journal	150
I have a large project at work that has been very difficult. Yesterday I hit a large roadblock with it and I spent most of the day troubleshooting the issues. They're still not resolved and it's very frustrating. Because of this my work was the most salient thing about my day yesterday. I love my job but it can be very frustrating when problems happen that are difficult to fix. It distracting and I need some time to myself to think through the problems.	nervousness	journal	151
I learned that my wife will mis another one of our dinner this Sunday because of her work. I've been patient with her, but I am starting to get frustrated and angry.	anger	journal	152
I was angry on my partner as he did not pick up my call when i called him to share my successful work done at my office.	anger	journal	153
We enjoyed a cup of coffee in a nice cafe	joy	journal	154
I had a good run around my neighborhood before work. I felt energized, stress free and ready for the day ahead.	neutral	journal	155
Exercise is very important to me and I was afraid I would not have time to include a workout in my day yesterday. However, I was able to squeeze it in and it made me proud and satisfied for meeting my goal.	pride	journal	156
I made an appointment to get my cat fixed, vaccinated, etc. I'd been really stressing about this for the last few weeks, because of several factors. She's a former stray and not all vets are willing to treat her decently - the first place I called wanted me to bring her in in a trap and tip her ear, like a wild animal! Also, because she's a stray I have no idea how old she is, but she looks more than old enough to have kittens, and I can't afford them, so I was in a hurry to get her fixed. Now that I have an appointment for next week, at a place that will actually treat her like a PET, which she IS, I feel better. I still have to figure out how I'm going to get her into the cat carrier that morning - I fully expect her to panic over some noise or other the night before, hide under the bed and refuse to come out - but at least it's only ONE thing to worry about, and after that, it's all downhill unless she gets an infection.	fear	journal	157
Happy that I'm trying to work toward my goal of losing weight.	excitement	journal	158
I made a rotisserie chicken for dinner which we all love.  I don't eat gluten but I make fun substitutes.  We had cauliflower mac and cheese for a side dish as well as a fresh salad.  It was a lovely dinner.  I enjoyed it with my family.	joy	journal	159
My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.	neutral	journal	160
I had such an enjoyable meal yesterday. I had been craving it for so long. It was probably the highlight of my week.	excitement	journal	161
I had a burger combo from five guys. It was delicious. The onions, the peanut flavor in the fries, I really liked it. It reminded me of simple times back in college.	joy	journal	162
A friend had an art gallery opening. I didn't want to go because I was tired and the event was a half hour away. But I went and was supportive and had a good time.	pride	journal	163
I read yesterday and it helped calm me down from a stressful day at work.	neutral	journal	164
My little boy read a book to me.	excitement	journal	165
I refinished a part of a table. It was quite enjoyable	neutral	journal	166
It is important to get a goods night sleep	neutral	journal	167
Upon picking up my only child from school, she gave me the amazing news, she was chosen to be in Honors quiet. Dad and I are so happy and proud of her. We dont know how we are going to squeeze in Choir rehearsals with her ballet rehearsals but we will figure it out. Dad and i are taking sunday off, so we can go and celebrate her invitation. We are so busy with life, that we need to start to take and make time for each other. i find it curious that this survey came up, when my first thought this morning was, how bless i am to have my family, how quickly time is passing, and how to make time for each other.	excitement	journal	168
I was very glad to get so much excerise yesterday, as I had really been lacking in it lately.	joy	journal	169
I got to spend part of the day with my best friends as I was helping them work on an outside project at their house. I felt good about socializing with them and I enjoyed helping them with the project.	excitement	journal	170
Work was very frustrating and a lot is being dumped on me due to so many people leaving.  I had a meeting with my supervisor and another supervisor and coworker to try to distribute the work, but all-in-all nothing happened.	nervousness	journal	171
I had a really good night of rest, it is important to just sleep for 7-8 hours and to do so without interruption. I achieved that.	neutral	journal	172
I had a lengthy but mostly fun, frivolous conversation with a woman I've started dating. No big issues were discussed and I'm not sure I got to know her better, but it was a pleasant diversion.	neutral	journal	173
We all enjoy a family meal together and talk about our day.	neutral	journal	174
I ran about 5km. It was a somewhat fast run. I am getting in better condition. I felt relaxed and happy.	excitement	journal	175
Love for life was extremely salient yesterday because I realize how grateful I am to live where I live and be able to have the kind of job taht I now have after retiring from teaching.	neutral	journal	176
It was a good day worked out felt more energized and had a good overall workout	joy	journal	177
I felt it was very important and salient because I was very happy and I love my family very much. We went out to dinner and had a great time. I love spending time and laughing with my family.	neutral	journal	178
I need help getting some money to fix my house, but nobody in the family gives a damn about me.	sadness	journal	179
food is very important to me. without the delicious food i get to eat today that is provided by my shelter i would not be able to keep living, so i would say that is very important	joy	journal	180
I had prayed for direction from the Most High about my new business and he led me to just the right information I need to know. That made me excited.	joy	journal	181
My daughter cooked dinner for all of us yesterday. It was a simple but a delicious one. I enjoyed sitting together with the family for the meal.	excitement	journal	182
I felt good lifting weights and then going for a long walk around my neighborhood.	joy	journal	183
My friends are there for me and do things that make me feel better through out the day wether it be sharing a funny social media post or talking through text.	excitement	journal	184
I made enchiladas for supper yesterday.	neutral	journal	185
I had a work and a project I am working on.	pride	journal	186
my husband and i are 14 years together, we have been together since we were 16. we are now 31. we essentially grew up with each other. we had our child at the age of 19, so in addition we have grow up with her. my husband is a sweet, always comforting me and make sure to let me know everything will be okay. i dont think i would have been able to accomplish everything i have thus fa with out his support and unbending unconditional love. he is a blessing, wonderful father and husband. wish i could cater to him more, he really deserves every single star in the sky.	pride	journal	187
My family is the most important thing to me.  My time with them is rewarding and it makes me feel content, happy, and safe.	neutral	journal	188
Had a good conversation with one of my friends on Discord yesterday.	joy	journal	189
so lucky to be free of pain and feeling good	neutral	journal	190
I had lunch with me aunt and we discussed my future plans and I talked about the shortcomings that I thought could hold me back from achieving what I desire to. It made me feel anxious to talk about, and when she went on to tell an interminably long and irrelevant story I became a bit fidgety.	nervousness	journal	191
My son received early admission to the college of his choice today! In addition he received a scholarship!	pride	journal	192
I was able to go on a 2 mile walk with my dog and it made us both feel great.	excitement	journal	193
Finally having a night to go out and have some fun it was a much needed break and great for my mental health.	joy	journal	194
I was able to take a great nap during the day. I usually don't get the chance but it made me feel really calm and refreshed.	neutral	journal	195
I am trying to lose weight and get in better shape. I joined a fitness boot camp that is really pushing me to my limits. I am sore and exhausted after, but I also feel like I am accomplishing my goals.	joy	journal	196
i had a good workout ad consider fitness and exercise important to my identity and well being.	pride	journal	197
Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?	anger	journal	198
I had kept a promise to myself that I would keep a certain fitness routine. I had felt like I didn't want to do it yesterday but I reminded myself that I had committed myself to doing it and it would only take a specific amount of time and once it was done I would be done with it. I was proud that I kept my promise to myself and that I completed it.	joy	journal	199
I made passionate love to my wife.	excitement	journal	200
friends make our journey of life easier they are a true source of joy to us.	joy	journal	201
Both if my kids had their belt test in karate class and they warned thier new belts. I was so proud of them!!	excitement	journal	202
Recovering from a surgery and feels great to be healthy.	neutral	journal	203
Yesterday was my birthday and I spent it with my family which is the most important thing in my life. I felt loved and pampered as if I was the most important thing in their lives as well	pride	journal	204
I felt very calm and relaxed yesterday while I was relaxing and reading. It was a very nice thing and I like to do it everyday.	neutral	journal	205
Trying to help my mother-in-law find a home, but it's kind of awkward because I feep like she wants to live with us.	confusion	journal	206
That things could have been worse. That you should remember who is important to you.	joy	journal	207
Part of my son's birthday wish was to go to the indoor trampoline park. I'm not built for that. I was so tired the entire time I think I was going to a die a few times. I remember telling my wife, if I go down just assume I'm dead and find a new husband...	joy	journal	208
I exercised yesterday as I'd planned, going for a power walk and then lifting weights after dinner.  I felt proud about being committed to it and getting it done, although I also found it challenging and dull.  I really had to push myself to start.  Once I started it wasn't bad though.  And now I want to keep doing this and getting in better and better shape.	nervousness	journal	209
I made chili cheese quesadillas for dinner and we had chocolate mousse cake in lieu of an actual birthday cake. Delicious and low-effort.	joy	journal	210
I accomplished a lot yesterday at work and felt very satisfied with my performance.	excitement	journal	211
I was able to get a lot done yesterday at work and I was very productive.	pride	journal	212
I have the best family anyone could want. My beautiful wife made a great dinner and homemade pie, which I love. My daughter brought home a school project that she made all by herself, and got an A on. She was so proud and I felt even prouder of her. She's an amazing child and she'll do well in life.	pride	journal	213
spending time with my family is what I do everyday. its something that makes me really happy	pride	journal	214
I had a long conversation with my Dad yesterday. It was interesting and enjoyable.	neutral	journal	215
God was part of my life yesterday as he is everyday and everyday is great because of God.	joy	journal	216
We had a couple of crazy calls at night.  When I got up in the morning I realized what an interesting and exciting job that I have.	excitement	journal	217
I went to Olive Garden with the wife for lunch. The Pasta Fagoli was good as usual.	joy	journal	218
I have been exercising and working hard, but have little to show in terms of weight loss. I wish it would come off quicker like it did when I was in my 20's. I try so hard but the scale barely seems to budge. It is very frustrating and I don't know what more I can do.	disgust	journal	219
Had to do some work in the morning that I wasnn't expecting so that was kind of annoying.	sadness	journal	220
My wife not only has anxiety but she is also dealing with a lot of changes at her job, and we don't know where we'll be living in the future, or the status of either of our jobs.	confusion	journal	221
It was good to get out, with the weather being as nice as it was, and getting some cardio in. I needed it after doing so much sitting during the work week and relaxing after work.	pride	journal	222
I was able make time yesterday to work out and that made me feel great. It was a while since I worked out and being able to get a work out in, was a nice feeling.	pride	journal	223
Arriving to work, feeling calm, however, felt anxious about the amount of work needing to be accomplished for the day. I felt I could get it all done and feel I had accomplished my goal for the day.	nervousness	journal	224
I made myself dinner before going to work. I was in a rush so I made a sandwich on a bagel and ate it. I also ate a Girl Scout cookie as dessert. It was fairly normal.	neutral	journal	225
I had a medical appointment today, and was so relieved when all the tests came back showing that everything was good. No problems at all.	joy	journal	226
My family are the most important part of my life. Yesterday, I got to really spend time and connect with my girls and husband. I am very grateful for all of the time that I get with them.	joy	journal	227
Yesterday I volunteered at the thrift store that funds the homeless shelter. It makes me feel good to help even if it is just in organizing the store. I feel my little bit of work contributes to what others are doing to make the mission possible.	neutral	journal	228
I got to work out, it was hard, but satisfying. This is something that i have been denying myself and I finally am doing it again. I am grateful and happy about it	joy	journal	229
When I was cooking, I was thinking about family and it made me feel comforted by the great family I was blessed to be a part of.  It made me feel secure, comforted and happy.	neutral	journal	230
My husband said he thought I must be losing weight because I look thinner. Since I've actually gained weight, I figure he's blinded by love, lol. But at least I'm hiding all this extra weight well with the way I'm dressing.	surprise	journal	231
Continued with the physiotherapy exercise after being pushed by my daughter. Great to have a daughter who care for me so much.	joy	journal	232
