textid	text	label	source	error_type	specific_error	num_errors
113	I spent time with my pet and it made my	joy	synthetic_variant	Sentence	Missing Object	0
114	The thought of public speaking keeps me up	fear	synthetic_variant	Sentence	Missing Object	0
115	My boss keeps doing the same mistakes and it's driving me crazy. I was trying to clean the house but poor planning ruined everything. I'm livid. My friend keeps doing talking over me and it's driving me crazy.	anger	synthetic_variant	NA	NA	0
116	I finally managed to solve the problem and it	pride	synthetic_variant	Sentence	Missing Object	0
117	The thought of confrontation keeps me up at night. I'm terrified that failure might occur soon. The professional conference has me on edge and I can't relax.	fear	synthetic_variant	NA	NA	0
118	I'm really satisfied with how I handled managing remote teams. I feel accomplished after completing finish my project. I'm really satisfied with how I handled saving for a house.	pride	synthetic_variant	Word	Scrambled Letter	1
119	I'm really worried abut failing the exam. What if something bad happens? The thought of public speaking keeps me up at night. The thoght of confrontation keeps me up at nigt.	fear	synthetic_variant	Word	Missing Letter	3
120	Today I foun out that my project was approved and I'm thrilled! I hit my goal happened and I'm so pumped about it!	excitement	synthetic_variant	Word	Missing Letter	2
121	Something strange happehed with my schedule and I'm not sure what to think. Something ztrange happened with my relationships and I'm not sure what to think.	confusion	synthetic_variant	Word	Adjacent Key	2
122	My presentation went well happened and I'm so I'm beyond excited because the application finally came through!	excitement	synthetic_variant	Sentence	Missing Object	0
123	I made such a fool of myself when I forgot important details. Today I made such a fool of myself when I forgot important details.	embarrassment	synthetic_variant	Sentence	Missing Subject	0
124	I encountered moldy leftovers and it made me feel sick to my stomach. I encountered a clogged drain and it made me feel sick to my stomach.	disgust	synthetic_variant	NA	NA	0
125	My parent reallly upset me when they took credit for my work. I'm sstill mad about it.	anger	synthetic_variant	Word	Repeating Letter	2
126	I finally managed to solve the problem and it feels amazing! I finally managed to finish on time and it feels amazing!	pride	synthetic_variant	Word	Repeating Letter	1
127	I was trying to fix the problem but technical issues ruined everything. I'm livid. I can't believe my boss did that to me. It's completely unfair and I'm furious. Today was terrible because my plans fell through. I'm so angry I could scream.	anger	synthetic_variant	NA	NA	0
128	I'm really worried about the upcoming deadline. What if something bad happens? I'm really worried about the upcoming deadline. What if something bad happens? The unusual test results has me on edge and I can't relax.	fear	synthetic_variant	NA	NA	0
129	I don't understand why traffic was terrible happened. Nothing makes sense anymore. I tried to figure out their reasoning but I just can't wrap my head around	confusion	synthetic_variant	Sentence	Missing Object	0
130	to figure out this complex issue but I just can't wrap my head around it. Today my friend told me something contradictory and I'm completely lost.	confusion	synthetic_variant	Sentence	Missing Subject	0
131	I tried to figure out the new system but I just can't wrap my head around it. I don't understand why the store was closed. Nothing makes sense anymore.	confusion	synthetic_variant	NA	NA	0
132	Teh thought of confrontation keeps me up at night. I'm terrified that failure might occur soon.	fear	synthetic_variant	Word	Scrambled Letter	1
133	The waiting period has me on edge and I can't relax. When the thought of public speaking keeps me up	fear	synthetic_variant	Sentence	Missing Complete Thought	0
134	The CT scan is making me feel uneasy and restkess.	nervousness	synthetic_variant	Word	Adjacent Key	3
135	I can't believe my colleague did that to me. It's completely unfair and I'm furious.	anger	synthetic_variant	NA	NA	0
136	Today was wonderful becausee I madde a new friend. I feeel so happy! I feel blessed that good health came into my life. Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	Word	Repeating Letter	3
137	I feel blessed that good health came into my life.	joy	synthetic_variant	NA	NA	0
138	I'm stressed out about my relationships and can't seem The gallery opening is making me feel uneasy and restless.	nervousness	synthetic_variant	Sentence	Missing Object	0
139	My plans fell through happened and now I'm too mortified to show my face. I accidentally called someone by tthe wrong name in front of everyone. I wanted to disaappear.	embarrassment	synthetic_variant	Word	Repeating Letter	3
140	I'm still grossed out by the smell from earlier. The way the cashier behaved was disgusting. I can't eeven thiink about it. The way that person behaved was disgusting. I can't even think about it.	disgust	synthetic_variant	Word	Repeating Letter	3
141	I'm beyond excited because the application finally came through! I'm beyond excited because my hard work finally came through! My presentation went well and I'm so pumped about it!	excitement	synthetic_variant	NA	NA	0
142	I'm really worried about failing the exam. What if something bad happens? The rehabilitation process has me on edge and I cqn't reoax. The legal fees has me on edge and I can't relax.	fear	synthetic_variant	Word	Adjacent Key	3
143	If i feel really down	sadness	synthetic_variant	Sentence	Missing Complete Thought	0
144	My plans fell through left me wondering what's really going on. My plans fell through left me wondering whats really going on.	confusion	synthetic_variant	Word	Missing Letter	2
145	Something strange happened with my schedule and I'm	confusion	synthetic_variant	Sentence	Missing Complete Thought	0
146	I do'nt understand why the store was closed happened. Nothing makes esnse anymore. Today my colleague told me unclear instructions and I'm completely lost.	confusion	synthetic_variant	Word	Scrambled Letter	3
147	I hit my goal and I'm so pumped about it! Today I found out that I won tickets and I'm thrilled! Today I found out that my project was approved and I'm thrilled!	excitement	synthetic_variant	NA	NA	0
148	My day consisted mainly of my to-do list. consisted mainly of my to-do list. I went through my usual routine of cooking and cleaning.	neutral	synthetic_variant	Sentence	Missing Subject	0
149	I spent most of the day running errands. Because today i worked. it was Today I worked. It was a pretty normal day.	neutral	synthetic_variant	Sentence	Missing Complete Thought	0
150	My day consisted mainly of my to-do list.	neutral	synthetic_variant	NA	NA	0
151	Today was wonderful because I hit my goal. I feel so happy!	joy	synthetic_variant	NA	NA	0
152	Nothing special happened today. Just routine tasks. I went through my usual routine of cooking and cleaning.	neutral	synthetic_variant	NA	NA	0
153	I can't stop thinking about how I misunderstood the situation. So I can't stop thinking about how I rambled nervously. So embarrassing.	embarrassment	synthetic_variant	Sentence	Missing Object	0
154	Today was wonderful because I hit my goal. I feel so happy! Everything about today was perfect, esspecially the meal. I feel blessed that these relationships came into my lifee.	joy	synthetic_variant	Word	Repeating Letter	3
155	I spent time with my pet and it made my whole day better. Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	NA	NA	0
156	I had to deal with a messy situation today and it was absolutely revolting. I had to deal with rude behavior today and it was absoolutely revolting.	disgust	synthetic_variant	Word	Repeating Letter	2
157	I made a new friend happenwd and I'm so lumped about it!	excitement	synthetic_variant	Word	Adjacent Key	3
158	I went through my usual routine of reading and relaxing.	neutral	synthetic_variant	Word	Missing Letter	1
159	I'm stressed out about work and can't seem to calm down.	nervousness	synthetic_variant	NA	NA	0
160	I had to deal with spoiled fokd today and it wqs absolutely revolting. I had to deal with dirty conditions today and it was absolutely revolting. I encountered a clogged drain and it made me feel sick to my stomach.	disgust	synthetic_variant	Word	Adjacent Key	2
161	Although the fair is making me feel uneasy	nervousness	synthetic_variant	Sentence	Missing Complete Thought	0
162	Sometging strange haplened with my relationships and I'm not sure what to tgink.	confusion	synthetic_variant	Word	Adjacent Key	3
163	I'm so proud that I accomplished my hard work today! I feel accomplished after completing clean the house. I'm so proud that I accomplished my proposal today!	pride	synthetic_variant	NA	NA	0
164	Just thinking about the trip makes me grin from ear to ear! I'm beyond excited because my hard work finally came	excitement	synthetic_variant	Sentence	Missing Object	0
165	I don't understand why traffic was terrible happened. Nothing makes sense anymore. I tried to figure out their reasoning but I just can't wrap my head around it. Something strange happened with the project and I'm not sure	confusion	synthetic_variant	Sentence	Missing Object	0
166	I'm really worried about failing thee exam. What if something bad happens?	fear	synthetic_variant	Word	Repeating Letter	1
167	I can't wait for my vacztion! It's going to be amazing! I made a new friend happened and I'm so pumped about it!	excitement	synthetic_variant	Word	Adjacent Key	1
168	went through my usual routine of work and exercise.	neutral	synthetic_variant	Sentence	Missing Subject	0
169	I can't wait for the concert! It's going to be amazing!	excitement	synthetic_variant	NA	NA	0
170	My friend really upset me when they took credit for my work. I'm still mad about it. Today was terrible because my plans fell through. I'm so angry I could scream.	anger	synthetic_variant	NA	NA	0
171	I'm so proud that I accomplished my proposal Today I proved to myself that I can overcome this challenge.	pride	synthetic_variant	Sentence	Missing Object	0
172	Today was terrible becaus the meeting got cncelled. I'm so angry I could scream. The cashier keeps doig talking over me and it's driving me crazy.	anger	synthetic_variant	Word	Missing Letter	3
173	I can't wait for the party! It's going to be amazing! Just thinking about starting my new hobby makes me grin from ear to ear!	excitement	synthetic_variant	NA	NA	0
174	I was trying to meet the deadline but unexpected interruptions ruined everything. I'm livid. I can't believe my colleague did that to me. Its completely unfair and I'm furious. My sibling really upset me when they took credit for my work. I'm still mad about it.	anger	synthetic_variant	Word	Missing Letter	2
175	I went through my usual routine of reading and relaxing. I spent most of the day running errands.	neutral	synthetic_variant	NA	NA	0
176	proved to myself that I can complete this project. Today I proved to myself that I can complete this project. I feel accomplished after completing fix the problem.	pride	synthetic_variant	Sentence	Missing Subject	0
177	I spent time with my best friend and it made my whole day better.	joy	synthetic_variant	Word	Scrambled Letter	1
178	I can't wait for the party! It's going to be amazing! Just thinking about seeing old friends makes me grin from ear to ear! I can't wait for the weekend! It's going to be amazing!	excitement	synthetic_variant	Word	Repeating Letter	1
179	I spent most of the day working on tasks. My day consisted mainly of daily responsibilities.	neutral	synthetic_variant	NA	NA	0
180	The thought of confrontation keeps me up at night. I'm really worried about the upcoming deadline. What if something bad happens?	fear	synthetic_variant	NA	NA	0
181	The thought of public speaking keeps me up at night.	fear	synthetic_variant	Word	Missing Letter	1
182	Today I proved to myself that I can achieve my goal.	pride	synthetic_variant	NA	NA	0
183	I feel boessed that these relationships came ihto my life. I spent time with my pet and it made my whole day better. Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	Word	Adjacent Key	2
184	Just thinking about seeing old friends makes me rgin from ear to ear!	excitement	synthetic_variant	Word	Scrambled Letter	2
185	The cashier keeps doing talking over me and it's driving me crazy.	anger	synthetic_variant	NA	NA	0
186	I don't know what I'll do if my fears actually happens.	fear	synthetic_variant	NA	NA	0
187	is making me feel uneasy and restless.	nervousness	synthetic_variant	Sentence	Missing Subject	0
188	Because i couldn't believe it when my idea I couldn't believe it when everything fell into place took place! I couldn't believe it when my idea was chosen took place!	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
189	The store was closed left	confusion	synthetic_variant	Sentence	Missing Complete Thought	0
190	I have the exam coming up and I'm really anxious about it. Tomorrow I need to give a speech and I'm so nervous.	nervousness	synthetic_variant	NA	NA	0
191	Out of nowhere, a promotion offer occurred and I was stunned! I was completely caught off guard	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
192	Today I made such a fool of myself when I forgot important details.	embarrassment	synthetic_variant	NA	NA	0
193	I'm still grossed out by the smell from earlier. Traffic was so terrible I wanted to leave immediately. I encountered moldy leftovers and it made me feel sick to my stomach.	disgust	synthetic_variant	NA	NA	0
194	I finally mansged to stand up for myself and it feels amazing! I feel accomplished after completing mest the deadoine.	pride	synthetic_variant	Word	Adjacent Key	3
195	Just thinking about seeing old friends makes me grin from ear to ear! Today I found out that my project was approved and I'm thrilled!	excitement	synthetic_variant	NA	NA	0
196	If i'm heartbroken about	sadness	synthetic_variant	Sentence	Missing Complete Thought	0
197	Everything about today was perfect, especially Today was wonderful because I made a new friend. I feel so happy! Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	Sentence	Missing Object	0
198	I'm stressed out about my relationships and can't seem to	nervousness	synthetic_variant	Sentence	Missing Object	0
199	Today I found out that I got the promotion and I'm thrilled! Today I found out that I got the promotion and I'm thrilled! Just thinking about tue trip makew me grin from ear to ear!	excitement	synthetic_variant	Word	Adjacent Key	2
200	happened and I couldn't stop smiling. I feel blessed that this opportunity came into my life.	joy	synthetic_variant	Sentence	Missing Subject	0
201	I don't know what I'll do if my fears actually happens.	fear	synthetic_variant	NA	NA	0
202	I never expected my old friend contacted me to happen! What a shock! Today brought an unexpected twist with full funding.	surprise	synthetic_variant	Word	Adjacent Key	2
203	The store was closed happened and now I'm too mortified to show my face. I accidentally called someone by the wrong name in front of everyone. I	embarrassment	synthetic_variant	Sentence	Missing Object	0
204	I'm heartbroken about the response. I can't shake this sadness from the news. I feel really down because a disappointment.	sadness	synthetic_variant	NA	NA	0
205	The donor match is making me feel uneasy and restless. I have the presentation coming up and I'm really nxious about it. I can't stop worrying about what others think. My stomach is in knots.	nervousness	synthetic_variant	Word	Missing Letter	1
206	I'm beyond excited because the application finally came through! My presentation went well and I'm so pumped about it!	excitement	synthetic_variant	NA	NA	0
207	I was trying to clean the house but poor planning ruined everything. I'm livid. Toeay was terrible because the meeting got cancelled. I'm so angry I could scream.	anger	synthetic_variant	Word	Adjacent Key	1
208	Today I made such a fool of myself when I forgot important details. tripped in front of everyone. I wanted to disappear. I can't stop thinking about how I laughed at the wrong time. So embarrassing.	embarrassment	synthetic_variant	Sentence	Missing Subject	0
209	I couldn't believe it when I received an aaward took place!	surprise	synthetic_variant	Word	Repeating Letter	1
210	I can't believe my neighbor did that to me. It's completely unfair and I'm furious. I can't believe my colleague did that to me. It's completely unfair and I'm furious.	anger	synthetic_variant	NA	NA	0
211	consisted mainly of my to-do list. Today I did chores. It was a pretty normal day.	neutral	synthetic_variant	Sentence	Missing Subject	0
212	My coworker really upset me when they ignored me. I'n still mad avout it. I can't believe my friend dkd that to me. It's completely unfair and I'm furious.	anger	synthetic_variant	Word	Adjacent Key	3
213	Today I found out that my project was approved and I'm thrilled!	excitement	synthetic_variant	NA	NA	0
214	Goos weafher happened and I couldn't stop smiling. I reel blessed that these relationships came into my life.	joy	synthetic_variant	Word	Adjacent Key	3
215	I was trying to clean the house but lack of time ruined everything. I'm I was trying to fix the problem but unexpected interruptions ruined everything. I'm livid.	anger	synthetic_variant	Sentence	Missing Object	0
